CONTAINER ID   IMAGE                                                   COMMAND                  CREATED        STATUS                 PORTS                                                                     NAMES
4e54adb9336b   sovereignoffice.azurecr.io/sovereign-api:latest         "node /app/dist/inde…"   7 hours ago    Up 7 hours (healthy)   0.0.0.0:8080->8080/tcp, [::]:8080->8080/tcp                               sovereign-office-api-1
ed510de3c15f   sovereignoffice.azurecr.io/sovereign-dashboard:latest   "/docker-entrypoint.…"   21 hours ago   Up 21 hours            80/tcp                                                                    sovereign-office-sovereign-1
60da3a853aeb   sovereignoffice.azurecr.io/sovereign-gateway:latest     "/docker-entrypoint-…"   23 hours ago   Up 23 hours            80/tcp, 0.0.0.0:3001-3005->3001-3005/tcp, [::]:3001-3005->3001-3005/tcp   sovereign-office-gateway-1
4900167cbed2   sovereignoffice.azurecr.io/authority-directory:latest   "/docker-entrypoint.…"   33 hours ago   Up 33 hours            80/tcp                                                                    sovereign-office-authority-1
11538fe36d8b   sovereignoffice.azurecr.io/trace:latest                 "/docker-entrypoint.…"   33 hours ago   Up 33 hours            80/tcp                                                                    sovereign-office-trace-1
1d18046db1b7   sovereignoffice.azurecr.io/trust-dashboard:latest       "/docker-entrypoint.…"   33 hours ago   Up 33 hours            80/tcp                                                                    sovereign-office-trust-1
6e0f8c5960be   sovereignoffice.azurecr.io/community-dashboard:latest   "/docker-entrypoint.…"   33 hours ago   Up 33 hours            80/tcp                                                                    sovereign-office-community-1
f7b46d522b34   sovereignoffice.azurecr.io/urban-indian-atlas:latest    "/docker-entrypoint.…"   33 hours ago   Up 33 hours            80/tcp                                                                    sovereign-office-atlas-1
